OK,Court ID,Court Name,Fixed Court Name,Court Name Abbreviation,Fixed Court Name Abbreviation,Count,Jurisdiction,Fixed Jurisdiction,First Date,Last Date,Example Case ID,Example Case
,15967,United States District Court for the District of Mississippi,,D. Miss.,,8,U.S.,,1814-12,1976-12-08,5729591,View example
,9405,United States District Court for the District of Missouri,,D. Mo.,,26,U.S.,,1843,2016-02-09,24792,View example
,10012,United States District Court for the District of Missouri,,D.Mo.,,1,U.S.,,1947-02-07,1947-02-07,603726,View example
,9064,United States District Court for the District of Montana,,D. Mont.,,1709,U.S.,,1891-04-20,2018-01-04,1154,View example
,9044,United States District Court for the District of Nebraska,,D. Neb.,,1973,U.S.,,1869-05,2017-06-30,9344,View example
,9076,United States District Court for the District of Nevada,,D. Nev.,,2135,U.S.,,1869-11,2017-12-15,1114,View example
,20869,United States District Court for the District of Nevada,,C.C.D. Nev.,,1,U.S.,,1900-07-23,1900-07-23,3873629,View example
,9273,United States District Court for the District of New Hampshire,,D.N.H.,,1431,U.S.,,1801-05-25,2017-03-27,1222,View example
,9104,United States District Court for the District of New Jersey,,D.N.J.,,8182,U.S.,,1842,2017-12-18,1123,View example
,8987,United States District Court for the District of New Mexico,,D.N.M.,,1850,U.S.,,1912-04-13,2017-11-30,4476,View example
,10270,United States District Court for the District of New York,,D.N.Y.,,64,U.S.,,1797,2004-04-27,691483,View example
,15228,United States District Court for the District of North Carolina,,D.N.C.,,41,U.S.,,1849,2015-01-27,55605,View example
,9203,United States District Court for the District of North Dakota,,D.N.D.,,931,U.S.,,1897-05-06,2017-06-26,1176,View example
